Model,Preprocessing,Accuracy,Total_Parameters,Trainable_Parameters,Fold,learning_rate,batch_size,optimizer,epochs,n_folds,dropout_rate,Precision_originals,Recall_originals,F1-Score_originals,Support_originals,Precision_recaptured,Recall_recaptured,F1-Score_recaptured,Support_recaptured,Precision_macro avg,Recall_macro avg,F1-Score_macro avg,Support_macro avg,Precision_weighted avg,Recall_weighted avg,F1-Score_weighted avg,Support_weighted avg
RGB_Laplacian_EfficientNetB0,RGB_Laplacian,0.92,8427079,8343033,1,0.0001,16,Adam,8,5,0.4,0.95,0.88,0.92,192.0,0.89,0.96,0.92,192.0,0.92,0.92,0.92,384.0,0.92,0.92,0.92,384.0
RGB_Laplacian_EfficientNetB0,RGB_Laplacian,0.89,8427079,8343033,2,0.0001,16,Adam,8,5,0.4,0.92,0.85,0.89,192.0,0.86,0.93,0.89,192.0,0.89,0.89,0.89,384.0,0.89,0.89,0.89,384.0
RGB_Laplacian_EfficientNetB0,RGB_Laplacian,0.9,8427079,8343033,3,0.0001,16,Adam,8,5,0.4,0.92,0.86,0.89,192.0,0.87,0.93,0.9,192.0,0.9,0.9,0.9,384.0,0.9,0.9,0.9,384.0
RGB_Laplacian_EfficientNetB0,RGB_Laplacian,0.85,8427079,8343033,4,0.0001,16,Adam,8,5,0.4,0.84,0.85,0.85,192.0,0.85,0.84,0.85,192.0,0.85,0.85,0.85,384.0,0.85,0.85,0.85,384.0
RGB_Laplacian_EfficientNetB0,RGB_Laplacian,0.87,8427079,8343033,5,0.0001,16,Adam,8,5,0.4,0.86,0.89,0.88,193.0,0.89,0.85,0.87,191.0,0.87,0.87,0.87,384.0,0.87,0.87,0.87,384.0
