Model,Preprocessing,Accuracy,Total_Parameters,Trainable_Parameters,Fold,learning_rate,batch_size,optimizer,epochs,n_folds,dropout_rate,Precision_originals,Recall_originals,F1-Score_originals,Support_originals,Precision_recaptured,Recall_recaptured,F1-Score_recaptured,Support_recaptured,Precision_macro avg,Recall_macro avg,F1-Score_macro avg,Support_macro avg,Precision_weighted avg,Recall_weighted avg,F1-Score_weighted avg,Support_weighted avg
Fourier_Balanced_CNN,Fourier,0.5,258881,258177,1,0.0001,16,Adam,8,5,0.4,0.0,0.0,0.0,192.0,0.5,1.0,0.6666666666666666,192.0,0.25,0.5,0.3333333333333333,384.0,0.25,0.5,0.3333333333333333,384.0
Fourier_Balanced_CNN,Fourier,0.5,258881,258177,2,0.0001,16,Adam,8,5,0.4,0.0,0.0,0.0,192.0,0.5,1.0,0.6666666666666666,192.0,0.25,0.5,0.3333333333333333,384.0,0.25,0.5,0.3333333333333333,384.0
Fourier_Balanced_CNN,Fourier,0.5,258881,258177,3,0.0001,16,Adam,8,5,0.4,0.0,0.0,0.0,192.0,0.5,1.0,0.6666666666666666,192.0,0.25,0.5,0.3333333333333333,384.0,0.25,0.5,0.3333333333333333,384.0
Fourier_Balanced_CNN,Fourier,0.5,258881,258177,4,0.0001,16,Adam,8,5,0.4,0.0,0.0,0.0,192.0,0.5,1.0,0.6666666666666666,192.0,0.25,0.5,0.3333333333333333,384.0,0.25,0.5,0.3333333333333333,384.0
Fourier_Balanced_CNN,Fourier,0.4973958333333333,258881,258177,5,0.0001,16,Adam,8,5,0.4,0.0,0.0,0.0,193.0,0.4973958333333333,1.0,0.6643478260869565,191.0,0.24869791666666666,0.5,0.33217391304347826,384.0,0.24740261501736108,0.4973958333333333,0.33044384057971016,384.0
