Model,Preprocessing,Accuracy,Total_Parameters,Trainable_Parameters,Fold,learning_rate,batch_size,optimizer,epochs,n_folds,dropout_rate,Precision_originals,Recall_originals,F1-Score_originals,Support_originals,Precision_recaptured,Recall_recaptured,F1-Score_recaptured,Support_recaptured,Precision_macro avg,Recall_macro avg,F1-Score_macro avg,Support_macro avg,Precision_weighted avg,Recall_weighted avg,F1-Score_weighted avg,Support_weighted avg
RGB_EfficientNetB0,RGB,0.8854166666666666,4213668,1515057,1,0.0001,16,Adam,8,5,0.4,0.8854166666666666,0.8854166666666666,0.8854166666666666,192.0,0.8854166666666666,0.8854166666666666,0.8854166666666666,192.0,0.8854166666666666,0.8854166666666666,0.8854166666666666,384.0,0.8854166666666666,0.8854166666666666,0.8854166666666666,384.0
RGB_EfficientNetB0,RGB,0.8463541666666666,4213668,1515057,2,0.0001,16,Adam,8,5,0.4,0.8556149732620321,0.8333333333333334,0.8443271767810027,192.0,0.8375634517766497,0.859375,0.8483290488431876,192.0,0.8465892125193408,0.8463541666666667,0.8463281128120952,384.0,0.8465892125193409,0.8463541666666666,0.8463281128120951,384.0
RGB_EfficientNetB0,RGB,0.8489583333333334,4213668,1515057,3,0.0001,16,Adam,8,5,0.4,0.8383838383838383,0.8645833333333334,0.8512820512820513,192.0,0.8602150537634409,0.8333333333333334,0.8465608465608465,192.0,0.8492994460736396,0.8489583333333334,0.8489214489214489,384.0,0.8492994460736396,0.8489583333333334,0.8489214489214488,384.0
RGB_EfficientNetB0,RGB,0.8411458333333334,4213668,1515057,4,0.0001,16,Adam,8,5,0.4,0.8291457286432161,0.859375,0.8439897698209718,192.0,0.8540540540540541,0.8229166666666666,0.8381962864721485,192.0,0.8415998913486351,0.8411458333333333,0.8410930281465602,384.0,0.841599891348635,0.8411458333333334,0.8410930281465602,384.0
RGB_EfficientNetB0,RGB,0.8697916666666666,4213668,1515057,5,0.0001,16,Adam,8,5,0.4,0.8704663212435233,0.8704663212435233,0.8704663212435233,193.0,0.8691099476439791,0.8691099476439791,0.8691099476439791,191.0,0.8697881344437512,0.8697881344437512,0.8697881344437512,384.0,0.8697916666666666,0.8697916666666666,0.8697916666666666,384.0
