Model,Preprocessing,Accuracy,Total_Parameters,Trainable_Parameters,Fold,learning_rate,batch_size,optimizer,epochs,n_folds,dropout_rate,Precision_originals,Recall_originals,F1-Score_originals,Support_originals,Precision_recaptured,Recall_recaptured,F1-Score_recaptured,Support_recaptured,Precision_macro avg,Recall_macro avg,F1-Score_macro avg,Support_macro avg,Precision_weighted avg,Recall_weighted avg,F1-Score_weighted avg,Support_weighted avg
Hybrid_MobileNetV2,Fourier_Laplacian,0.6770833333333334,4843905,2740097,1,0.0001,16,Adam,8,5,0.4,0.6214285714285714,0.90625,0.7372881355932204,192.0,0.8269230769230769,0.4479166666666667,0.581081081081081,192.0,0.7241758241758242,0.6770833333333334,0.6591846083371506,384.0,0.7241758241758243,0.6770833333333334,0.6591846083371506,384.0
Hybrid_MobileNetV2,Fourier_Laplacian,0.7161458333333334,4843905,2740097,2,0.0001,16,Adam,8,5,0.4,0.7455621301775148,0.65625,0.6980609418282548,192.0,0.6930232558139535,0.7760416666666666,0.7321867321867321,192.0,0.7192926929957342,0.7161458333333333,0.7151238370074935,384.0,0.7192926929957343,0.7161458333333334,0.7151238370074934,384.0
Hybrid_MobileNetV2,Fourier_Laplacian,0.8463541666666666,4843905,2740097,3,0.0001,16,Adam,8,5,0.4,0.8674033149171271,0.8177083333333334,0.8418230563002681,192.0,0.8275862068965517,0.875,0.850632911392405,192.0,0.8474947609068394,0.8463541666666667,0.8462279838463366,384.0,0.8474947609068394,0.8463541666666666,0.8462279838463366,384.0
Hybrid_MobileNetV2,Fourier_Laplacian,0.65625,4843905,2740097,4,0.0001,16,Adam,8,5,0.4,0.6219512195121951,0.796875,0.6986301369863014,192.0,0.717391304347826,0.515625,0.6,192.0,0.6696712619300106,0.65625,0.6493150684931507,384.0,0.6696712619300106,0.65625,0.6493150684931507,384.0
Hybrid_MobileNetV2,Fourier_Laplacian,0.7916666666666666,4843905,2740097,5,0.0001,16,Adam,8,5,0.4,0.8265895953757225,0.7409326424870466,0.7814207650273224,193.0,0.7630331753554502,0.8429319371727748,0.8009950248756219,191.0,0.7948113853655864,0.7919322898299107,0.7912078949514721,384.0,0.7949768968760559,0.7916666666666666,0.7911569203164506,384.0
