Model,Preprocessing,Accuracy,Total_Parameters,Trainable_Parameters,Fold,learning_rate,batch_size,optimizer,epochs,n_folds,dropout_rate,Precision_originals,Recall_originals,F1-Score_originals,Support_originals,Precision_recaptured,Recall_recaptured,F1-Score_recaptured,Support_recaptured,Precision_macro avg,Recall_macro avg,F1-Score_macro avg,Support_macro avg,Precision_weighted avg,Recall_weighted avg,F1-Score_weighted avg,Support_weighted avg
Laplacian_MobileNetV2,Laplacian,0.7526041666666666,2259265,1207361,1,0.0001,16,Adam,8,5,0.5,0.770949720670391,0.71875,0.7439353099730458,192.0,0.7365853658536585,0.7864583333333334,0.760705289672544,192.0,0.7537675432620248,0.7526041666666667,0.7523202998227949,384.0,0.7537675432620249,0.7526041666666666,0.7523202998227948,384.0
Laplacian_MobileNetV2,Laplacian,0.765625,2259265,1207361,2,0.0001,16,Adam,8,5,0.5,0.7865168539325843,0.7291666666666666,0.7567567567567568,192.0,0.7475728155339806,0.8020833333333334,0.7738693467336684,192.0,0.7670448347332824,0.765625,0.7653130517452126,384.0,0.7670448347332824,0.765625,0.7653130517452125,384.0
Laplacian_MobileNetV2,Laplacian,0.5572916666666666,2259265,1207361,3,0.0001,16,Adam,8,5,0.5,0.5305555555555556,0.9947916666666666,0.6920289855072463,192.0,0.9583333333333334,0.11979166666666667,0.21296296296296297,192.0,0.7444444444444445,0.5572916666666666,0.4524959742351047,384.0,0.7444444444444445,0.5572916666666666,0.4524959742351047,384.0
Laplacian_MobileNetV2,Laplacian,0.8151041666666666,2259265,1207361,4,0.0001,16,Adam,8,5,0.5,0.7951219512195122,0.8489583333333334,0.8211586901763224,192.0,0.8379888268156425,0.78125,0.8086253369272237,192.0,0.8165553890175774,0.8151041666666667,0.814892013551773,384.0,0.8165553890175774,0.8151041666666666,0.8148920135517731,384.0
Laplacian_MobileNetV2,Laplacian,0.8098958333333334,2259265,1207361,5,0.0001,16,Adam,8,5,0.5,0.780373831775701,0.8652849740932642,0.8206388206388207,193.0,0.8470588235294118,0.7539267015706806,0.7977839335180056,191.0,0.8137163276525563,0.8096058378319724,0.8092113770784131,384.0,0.8135426688198644,0.8098958333333334,0.8092708950136235,384.0
